id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,status_kawin,jumlah_penduduk,satuan,tahun
486,32,JAWA BARAT,3215,KABUPATEN KARAWANG,CERAI HIDUP,33329,JIWA,2017
487,32,JAWA BARAT,3215,KABUPATEN KARAWANG,CERAI MATI,78395,JIWA,2017
488,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KAWIN,1160465,JIWA,2017
489,32,JAWA BARAT,3216,KABUPATEN BEKASI,BELUM KAWIN,1126336,JIWA,2017
490,32,JAWA BARAT,3216,KABUPATEN BEKASI,CERAI HIDUP,23760,JIWA,2017
491,32,JAWA BARAT,3216,KABUPATEN BEKASI,CERAI MATI,60617,JIWA,2017
492,32,JAWA BARAT,3216,KABUPATEN BEKASI,KAWIN,1400752,JIWA,2017
493,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BELUM KAWIN,726199,JIWA,2017
494,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CERAI HIDUP,33780,JIWA,2017
495,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CERAI MATI,40662,JIWA,2017
496,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KAWIN,837914,JIWA,2017
497,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BELUM KAWIN,154460,JIWA,2017
498,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CERAI HIDUP,7174,JIWA,2017
499,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CERAI MATI,19571,JIWA,2017
500,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KAWIN,227811,JIWA,2017
501,32,JAWA BARAT,3271,KOTA BOGOR,BELUM KAWIN,475910,JIWA,2017
502,32,JAWA BARAT,3271,KOTA BOGOR,CERAI HIDUP,16392,JIWA,2017
503,32,JAWA BARAT,3271,KOTA BOGOR,CERAI MATI,33133,JIWA,2017
504,32,JAWA BARAT,3271,KOTA BOGOR,KAWIN,485149,JIWA,2017
505,32,JAWA BARAT,3272,KOTA SUKABUMI,BELUM KAWIN,155486,JIWA,2017
506,32,JAWA BARAT,3272,KOTA SUKABUMI,CERAI HIDUP,6779,JIWA,2017
507,32,JAWA BARAT,3272,KOTA SUKABUMI,CERAI MATI,15096,JIWA,2017
508,32,JAWA BARAT,3272,KOTA SUKABUMI,KAWIN,158505,JIWA,2017
509,32,JAWA BARAT,3273,KOTA BANDUNG,BELUM KAWIN,1109967,JIWA,2017
510,32,JAWA BARAT,3273,KOTA BANDUNG,CERAI HIDUP,35768,JIWA,2017
511,32,JAWA BARAT,3273,KOTA BANDUNG,CERAI MATI,92438,JIWA,2017
512,32,JAWA BARAT,3273,KOTA BANDUNG,KAWIN,1174283,JIWA,2017
513,32,JAWA BARAT,3274,KOTA CIREBON,BELUM KAWIN,153338,JIWA,2017
514,32,JAWA BARAT,3274,KOTA CIREBON,CERAI HIDUP,6706,JIWA,2017
515,32,JAWA BARAT,3274,KOTA CIREBON,CERAI MATI,15898,JIWA,2017
516,32,JAWA BARAT,3274,KOTA CIREBON,KAWIN,152297,JIWA,2017
517,32,JAWA BARAT,3275,KOTA BEKASI,BELUM KAWIN,1209706,JIWA,2017
518,32,JAWA BARAT,3275,KOTA BEKASI,CERAI HIDUP,14807,JIWA,2017
